Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
8,"NLog.LogFactory.GetTargetsByLevelForLogger(string,class System.Collections.Generic.IList`1<class NLog.Config.LoggingRule>,class NLog.Internal.TargetWithFilterChain[],class NLog.Internal.TargetWithFilterChain[])",1,0,0.00,0.00,"NLog.DLL",
9,"NLog.Internal.TargetWithFilterChain.PrecalculateStackTraceUsage()",1,0,0.00,0.00,"NLog.DLL",
10,"NLog.Internal.ObjectGraphScanner.FindReachableObjects(object[])",1,0,0.00,0.00,"NLog.DLL",
11,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
12,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
13,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
14,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
15,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
16,"System.RuntimeType.IsDefined(class System.Type,bool)",1,1,0.00,0.00,"mscorlib.dll",
3,"System.Web.HttpRequest.get_Params()",1,1,0.00,0.00,"System.Web.dll",
0,"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__8()","9,854",0,39.29,0.00,"BingAnswers.DLL",
1,"BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","9,854",0,39.29,0.00,"BingAnswers.DLL",
2,"BingAnswers.Quora.GetAnswer(string)","9,854",525,39.29,2.09,"BingAnswers.DLL",
3,"BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","8,677",563,34.60,2.24,"BingAnswers.DLL",
4,"System.Threading.Thread.get_IsAlive()","5,190","5,190",20.69,20.69,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Add(!0)","1,115","1,115",4.45,4.45,"mscorlib.dll",
4,"System.Collections.Generic.List`1.GetEnumerator()",730,730,2.91,2.91,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.MoveNext()",677,677,2.70,2.70,"mscorlib.dll",
4,"System.Collections.Generic.List`1..ctor()",294,294,1.17,1.17,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.get_Current()",49,49,0.20,0.20,"mscorlib.dll",
4,"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",23,23,0.09,0.09,"clr.dll",
4,"System.Collections.Generic.List`1.get_Count()",15,15,0.06,0.06,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.Dispose()",13,13,0.05,0.05,"mscorlib.dll",
4,"System.Xml.Serialization.XmlSerializer..ctor(class System.Type)",5,5,0.02,0.02,"System.Xml.dll",
4,"__EH_epilog3",1,1,0.00,0.00,"clr.dll",
4,"System.Xml.Serialization.XmlSerializer.Deserialize(class System.Xml.XmlReader)",1,1,0.00,0.00,"System.Xml.dll",
4,"WKS::GCHeap::Alloc(struct alloc_context *,unsigned int,unsigned long)",1,1,0.00,0.00,"clr.dll",
3,"JIT_GetGenericsGCStaticBase(class MethodTable *)",499,499,1.99,1.99,"clr.dll",
3,"ThreadNative::IsAlive(class ThreadBaseObject *)",121,121,0.48,0.48,"clr.dll",
3,"System.Collections.Generic.List`1.GetEnumerator()",14,14,0.06,0.06,"mscorlib.dll",
3,"BingAnswers.Quora.sendBingSearchRequest(string)",11,0,0.04,0.00,"BingAnswers.DLL",
4,"BingAnswers.Util.MakeWebRequestStream(string)",11,0,0.04,0.00,"BingAnswers.DLL",
5,"System.Net.WebRequest.Create(string)",5,5,0.02,0.02,"System.dll",
5,"System.Net.HttpWebRequest.GetResponse()",3,3,0.01,0.01,"System.dll",
5,"System.Net.WebHeaderCollection.Add(string,string)",3,3,0.01,0.01,"System.dll",
3,"System.Collections.Generic.List`1.Enumerator.MoveNext()",5,5,0.02,0.02,"mscorlib.dll",
3,"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",1,1,0.00,0.00,"clr.dll",
3,"Unknown Frame(s)",1,1,0.00,0.00,"UNKNOWN",
0,"BingAnswers.Quora.<>c__DisplayClass3.<ParseSearchResult>b__0()","1,528",0,6.09,0.00,"BingAnswers.DLL",
1,"BingAnswers.Quora.GetQuoraAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","1,528",0,6.09,0.00,"BingAnswers.DLL",
2,"HtmlAgilityPack.HtmlDocument.Load(class System.IO.Stream)",924,0,3.68,0.00,"HtmlAgilityPack.DLL",
3,"HtmlAgilityPack.HtmlDocument.Load(class System.IO.TextReader)",924,1,3.68,0.00,"HtmlAgilityPack.DLL",
4,"HtmlAgilityPack.HtmlDocument.Parse()",902,47,3.60,0.19,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlNode.get_Name()",333,5,1.33,0.02,"HtmlAgilityPack.DLL",
6,"System.String.ToLower()",328,328,1.31,1.31,"mscorlib.dll",
5,"System.String.Compare(string,string,bool)",233,233,0.93,0.93,"mscorlib.dll",
5,"HtmlAgilityPack.HtmlDocument.PushNodeEnd(int32,bool)",83,1,0.33,0.00,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlDocument.CloseCurrentNode()",35,2,0.14,0.01,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlNode.get_Name()",20,0,0.08,0.00,"HtmlAgilityPack.DLL",
8,"System.String.ToLower()",20,20,0.08,0.08,"mscorlib.dll",
7,"HtmlAgilityPack.HtmlNode.CloseNode(class HtmlAgilityPack.HtmlNode)",8,1,0.03,0.00,"HtmlAgilityPack.DLL",
8,"HtmlAgilityPack.HtmlNode.get_Name()",3,0,0.01,0.00,"HtmlAgilityPack.DLL",
9,"System.String.ToLower()",3,3,0.01,0.01,"mscorlib.dll",
8,"HtmlAgilityPack.HtmlNodeCollection.System.Collections.Generic.IEnumerable<HtmlAgilityPack.HtmlNode>.GetEnumerator()",1,1,0.00,0.00,"HtmlAgilityPack.DLL",
8,"System.Collections.Hashtable.Remove(object)",1,1,0.00,0.00,"mscorlib.dll",
8,"System.Collections.Generic.List`1.Enumerator.MoveNext()",1,1,0.00,0.00,"mscorlib.dll",
8,"System.Collections.Generic.List`1.Enumerator.Dispose()",1,1,0.00,0.00,"mscorlib.dll",
7,"HtmlAgilityPack.HtmlNode.IsClosedElement(string)",4,0,0.02,0.00,"HtmlAgilityPack.DLL",
8,"System.String.ToLower()",4,4,0.02,0.02,"mscorlib.dll",
7,"System.Collections.Hashtable.InitHash(object,int32,uint32&,uint32&)",1,1,0.00,0.00,"mscorlib.dll",
6,"HtmlAgilityPack.HtmlNode.AppendChild(class HtmlAgilityPack.HtmlNode)",19,0,0.08,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlNode.GetId()",8,0,0.03,0.00,"HtmlAgilityPack.DLL",
8,"HtmlAgilityPack.HtmlAttributeCollection.get_Item(string)",8,0,0.03,0.00,"HtmlAgilityPack.DLL",
9,"System.String.ToLower()",8,8,0.03,0.03,"mscorlib.dll",
7,"HtmlAgilityPack.HtmlDocument.SetIdForNode(class HtmlAgilityPack.HtmlNode,string)",8,0,0.03,0.00,"HtmlAgilityPack.DLL",
8,"System.String.ToLower()",5,5,0.02,0.02,"mscorlib.dll",
8,"System.Collections.Hashtable.set_Item(object,object)",3,3,0.01,0.01,"mscorlib.dll",
7,"HtmlAgilityPack.HtmlNodeCollection.Append(class HtmlAgilityPack.HtmlNode)",3,0,0.01,0.00,"HtmlAgilityPack.DLL",
8,"System.Collections.Generic.List`1.Add(!0)",3,3,0.01,0.01,"mscorlib.dll",
6,"HtmlAgilityPack.HtmlNode.get_Name()",11,0,0.04,0.00,"HtmlAgilityPack.DLL",
7,"System.String.ToLower()",11,11,0.04,0.04,"mscorlib.dll",
6,"HtmlAgilityPack.HtmlNode.IsCDataElement(string)",5,1,0.02,0.00,"HtmlAgilityPack.DLL",
7,"System.Collections.Hashtable.get_Item(object)",2,2,0.01,0.01,"mscorlib.dll",
7,"System.String.ToLower()",2,2,0.01,0.01,"mscorlib.dll",
6,"HtmlAgilityPack.HtmlNode.IsClosedElement(string)",4,0,0.02,0.00,"HtmlAgilityPack.DLL",
7,"System.String.ToLower()",2,2,0.01,0.01,"mscorlib.dll",
7,"System.Collections.Hashtable.get_Item(object)",2,2,0.01,0.01,"mscorlib.dll",
6,"System.Collections.Hashtable.get_Item(object)",2,2,0.01,0.01,"mscorlib.dll",
6,"HtmlAgilityPack.HtmlDocument.ReadDocumentEncoding(class HtmlAgilityPack.HtmlNode)",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlNode.get_Name()",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
8,"System.String.ToLower()",2,2,0.01,0.01,"mscorlib.dll",
6,"HtmlAgilityPack.HtmlNode.IsEmptyElement(string)",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
7,"System.Collections.Hashtable.get_Item(object)",1,1,0.00,0.00,"mscorlib.dll",
7,"System.String.ToLower()",1,1,0.00,0.00,"mscorlib.dll",
6,"System.Collections.Hashtable.set_Item(object,object)",1,1,0.00,0.00,"mscorlib.dll",
6,"HtmlAgilityPack.HtmlDocument.CurrentNodeName()",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
7,"System.String.Substring(int32,int32)",1,1,0.00,0.00,"mscorlib.dll",
5,"System.String.Concat(string,string)",81,81,0.32,0.32,"mscorlib.dll",
5,"System.String.Substring(int32,int32)",74,74,0.30,0.30,"mscorlib.dll",
5,"HtmlAgilityPack.HtmlDocument.PushAttributeNameEnd(int32)",20,1,0.08,0.00,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlAttributeCollection.Append(class HtmlAgilityPack.HtmlAttribute)",17,0,0.07,0.00,"HtmlAgilityPack.DLL",
7,"System.Collections.Generic.Dictionary`2.set_Item(!0,!1)",10,10,0.04,0.04,"mscorlib.dll",
7,"HtmlAgilityPack.HtmlAttribute.get_Name()",7,0,0.03,0.00,"HtmlAgilityPack.DLL",
8,"System.String.ToLower()",7,7,0.03,0.03,"mscorlib.dll",
6,"HtmlAgilityPack.HtmlNode.get_Attributes()",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlNode.get_HasAttributes()",1,1,0.00,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlAttributeCollection..ctor(class HtmlAgilityPack.HtmlNode)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
8,"System.Collections.Generic.Dictionary`2..ctor()",1,1,0.00,0.00,"mscorlib.dll",
5,"HtmlAgilityPack.HtmlDocument.NewCheck()",16,2,0.06,0.01,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlDocument.PushNodeStart(valuetype HtmlAgilityPack.HtmlNodeType,int32)",10,0,0.04,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlDocument.CreateNode(valuetype HtmlAgilityPack.HtmlNodeType,int32)",10,0,0.04,0.00,"HtmlAgilityPack.DLL",
8,"HtmlAgilityPack.HtmlNode..ctor(valuetype HtmlAgilityPack.HtmlNodeType,class HtmlAgilityPack.HtmlDocument,int32)",9,1,0.04,0.00,"HtmlAgilityPack.DLL",
9,"System.Collections.Hashtable.Add(object,object)",7,7,0.03,0.03,"mscorlib.dll",
9,"_JIT_WriteBarrierEAX@0",1,1,0.00,0.00,"clr.dll",
8,"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",1,1,0.00,0.00,"clr.dll",
6,"HtmlAgilityPack.HtmlDocument.PushNodeEnd(int32,bool)",4,0,0.02,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlNode.AppendChild(class HtmlAgilityPack.HtmlNode)",4,0,0.02,0.00,"HtmlAgilityPack.DLL",
8,"HtmlAgilityPack.HtmlDocument.SetIdForNode(class HtmlAgilityPack.HtmlNode,string)",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
9,"System.String.ToLower()",2,2,0.01,0.01,"mscorlib.dll",
8,"HtmlAgilityPack.HtmlNode.GetId()",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
9,"HtmlAgilityPack.HtmlAttributeCollection.get_Item(string)",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
10,"System.String.ToLower()",2,2,0.01,0.01,"mscorlib.dll",
5,"HtmlAgilityPack.HtmlDocument.IncrementPosition()",10,10,0.04,0.04,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlDocument.PushAttributeNameStart(int32)",3,1,0.01,0.00,"HtmlAgilityPack.DLL",
6,"_JIT_WriteBarrierEAX@0",1,1,0.00,0.00,"clr.dll",
6,"HtmlAgilityPack.HtmlDocument.CreateAttribute()",1,1,0.00,0.00,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlDocument.IsWhiteSpace(int32)",1,1,0.00,0.00,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlDocument.PushNodeStart(valuetype HtmlAgilityPack.HtmlNodeType,int32)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlDocument.CreateNode(valuetype HtmlAgilityPack.HtmlNodeType,int32)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlTextNode..ctor(class HtmlAgilityPack.HtmlDocument,int32)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
8,"HtmlAgilityPack.HtmlNode..ctor(valuetype HtmlAgilityPack.HtmlNodeType,class HtmlAgilityPack.HtmlDocument,int32)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
9,"_JIT_WriteBarrierESI@0",1,1,0.00,0.00,"clr.dll",
4,"System.IO.StreamReader.ReadToEnd()",19,19,0.08,0.08,"mscorlib.dll",
4,"System.String.Concat(string,string)",2,2,0.01,0.01,"mscorlib.dll",
2,"HtmlAgilityPack.HtmlNode.SelectNodes(string)",603,0,2.40,0.00,"HtmlAgilityPack.DLL",
3,"System.Xml.XPath.XPathNavigator.Select(string)",596,120,2.38,0.48,"System.Xml.dll",
4,"HtmlAgilityPack.HtmlNodeNavigator.Clone()",218,18,0.87,0.07,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlNodeNavigator..ctor(class HtmlAgilityPack.HtmlNodeNavigator)",200,21,0.80,0.08,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlDocument..ctor()",99,22,0.39,0.09,"HtmlAgilityPack.DLL",
7,"System.Collections.Hashtable..ctor()",46,46,0.18,0.18,"mscorlib.dll",
7,"HtmlAgilityPack.HtmlDocument.CreateNode(valuetype HtmlAgilityPack.HtmlNodeType,int32)",14,3,0.06,0.01,"HtmlAgilityPack.DLL",
8,"HtmlAgilityPack.HtmlNode..ctor(valuetype HtmlAgilityPack.HtmlNodeType,class HtmlAgilityPack.HtmlDocument,int32)",9,7,0.04,0.03,"HtmlAgilityPack.DLL",
9,"_JIT_WriteBarrierEAX@0",1,1,0.00,0.00,"clr.dll",
9,"HtmlAgilityPack.HtmlNode.set_Name(string)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
10,"_JIT_WriteBarrierEAX@0",1,1,0.00,0.00,"clr.dll",
8,"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",2,2,0.01,0.01,"clr.dll",
7,"System.Collections.Generic.List`1..ctor()",9,9,0.04,0.04,"mscorlib.dll",
7,"System.Text.Encoding.get_Default()",3,3,0.01,0.01,"mscorlib.dll",
7,"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",3,3,0.01,0.01,"clr.dll",
7,"_JIT_WriteBarrierEAX@0",1,1,0.00,0.00,"clr.dll",
7,"System.Object..ctor()",1,1,0.00,0.00,"mscorlib.dll",
6,"HtmlAgilityPack.HtmlNameTable..ctor()",34,11,0.14,0.04,"HtmlAgilityPack.DLL",
7,"System.Xml.NameTable..ctor()",20,20,0.08,0.08,"System.Xml.dll",
7,"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",1,1,0.00,0.00,"clr.dll",
7,"_JIT_WriteBarrierESI@0",1,1,0.00,0.00,"clr.dll",
7,"System.Xml.XmlNameTable..ctor()",1,1,0.00,0.00,"System.Xml.dll",
6,"JIT_GetGenericsGCStaticBase(class MethodTable *)",29,29,0.12,0.12,"clr.dll",
6,"_JIT_WriteBarrierEAX@0",6,6,0.02,0.02,"clr.dll",
6,"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",4,4,0.02,0.02,"clr.dll",
6,"System.Xml.XPath.XPathNavigator..ctor()",4,4,0.02,0.02,"System.Xml.dll",
6,"_JIT_WriteBarrierEBX@0",3,3,0.01,0.01,"clr.dll",
4,"HtmlAgilityPack.HtmlNodeNavigator.MoveToParent()",106,76,0.42,0.30,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlNode.get_ParentNode()",21,21,0.08,0.08,"HtmlAgilityPack.DLL",
5,"_JIT_WriteBarrierEAX@0",9,9,0.04,0.04,"clr.dll",
4,"HtmlAgilityPack.HtmlNodeNavigator.get_LocalName()",63,1,0.25,0.00,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlNode.get_Name()",38,8,0.15,0.03,"HtmlAgilityPack.DLL",
6,"System.String.ToLower()",30,30,0.12,0.12,"mscorlib.dll",
5,"HtmlAgilityPack.HtmlAttribute.get_Name()",12,0,0.05,0.00,"HtmlAgilityPack.DLL",
6,"System.String.ToLower()",12,12,0.05,0.05,"mscorlib.dll",
5,"HtmlAgilityPack.HtmlNameTable.GetOrAdd(string)",10,3,0.04,0.01,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlNameTable.Get(string)",7,1,0.03,0.00,"HtmlAgilityPack.DLL",
7,"System.Xml.NameTable.Get(string)",6,6,0.02,0.02,"System.Xml.dll",
5,"HtmlAgilityPack.HtmlNode.get_Attributes()",1,1,0.00,0.00,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlAttributeCollection.get_Item(int32)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
6,"System.Collections.Generic.List`1.get_Item(int32)",1,1,0.00,0.00,"mscorlib.dll",
4,"HtmlAgilityPack.HtmlNodeNavigator.MoveToNext()",41,28,0.16,0.11,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlNode.get_NextSibling()",11,11,0.04,0.04,"HtmlAgilityPack.DLL",
5,"_JIT_WriteBarrierEAX@0",2,2,0.01,0.01,"clr.dll",
4,"HtmlAgilityPack.HtmlNodeNavigator.MoveToFirstChild()",16,2,0.06,0.01,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlNode.get_HasChildNodes()",12,9,0.05,0.04,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlNodeCollection.get_Count()",3,3,0.01,0.01,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlNodeCollection.get_Item(int32)",1,1,0.00,0.00,"HtmlAgilityPack.DLL",
5,"_JIT_WriteBarrierEAX@0",1,1,0.00,0.00,"clr.dll",
4,"HtmlAgilityPack.HtmlNodeNavigator.IsSamePosition(class System.Xml.XPath.XPathNavigator)",13,13,0.05,0.05,"HtmlAgilityPack.DLL",
4,"HtmlAgilityPack.HtmlNodeNavigator.get_NodeType()",10,8,0.04,0.03,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlNode.get_NodeType()",2,2,0.01,0.01,"HtmlAgilityPack.DLL",
4,"HtmlAgilityPack.HtmlNodeNavigator.MoveToFirstAttribute()",4,1,0.02,0.00,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlNodeNavigator.get_HasAttributes()",3,0,0.01,0.00,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlNode.get_Attributes()",3,1,0.01,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlNode.get_HasAttributes()",2,1,0.01,0.00,"HtmlAgilityPack.DLL",
8,"HtmlAgilityPack.HtmlAttributeCollection.get_Count()",1,1,0.00,0.00,"HtmlAgilityPack.DLL",
4,"HtmlAgilityPack.HtmlNodeNavigator.MoveToNextAttribute()",3,1,0.01,0.00,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlNode.get_Attributes()",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlNode.get_HasAttributes()",2,1,0.01,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlAttributeCollection.get_Count()",1,1,0.00,0.00,"HtmlAgilityPack.DLL",
4,"HtmlAgilityPack.HtmlNodeNavigator.get_HasAttributes()",1,1,0.00,0.00,"HtmlAgilityPack.DLL",
4,"HtmlAgilityPack.HtmlNodeNavigator.get_Value()",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlAttribute.get_Value()",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
6,"System.String.Substring(int32,int32)",1,1,0.00,0.00,"mscorlib.dll",
3,"MS.Internal.Xml.XPath.XPathSelectionIterator.MoveNext()",7,2,0.03,0.01,"System.Xml.dll",
4,"HtmlAgilityPack.HtmlNodeNavigator.Clone()",3,0,0.01,0.00,"HtmlAgilityPack.DLL",
