Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
5,"HtmlAgilityPack.HtmlNodeNavigator..ctor(class HtmlAgilityPack.HtmlNodeNavigator)",3,1,0.01,0.00,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlDocument..ctor()",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlDocument.CreateNode(valuetype HtmlAgilityPack.HtmlNodeType,int32)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
8,"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",1,1,0.00,0.00,"clr.dll",
7,"System.Text.Encoding.get_Default()",1,1,0.00,0.00,"mscorlib.dll",
4,"HtmlAgilityPack.HtmlNodeNavigator.get_LocalName()",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlAttribute.get_Name()",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
6,"System.String.ToLower()",2,2,0.01,0.01,"mscorlib.dll",
2,"HtmlAgilityPack.HtmlNode.get_InnerText()",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
3,"HtmlAgilityPack.HtmlNode.get_InnerText()",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
4,"HtmlAgilityPack.HtmlTextNode.get_Text()",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlNode.get_OuterHtml()",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
6,"System.String.Substring(int32,int32)",1,1,0.00,0.00,"mscorlib.dll",
0,"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__6()","1,103",0,4.40,0.00,"BingAnswers.DLL",
1,"BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","1,103",0,4.40,0.00,"BingAnswers.DLL",
2,"BingAnswers.WikiHow.GetAnswer(string)","1,103",14,4.40,0.06,"BingAnswers.DLL",
3,"BingAnswers.WikiHow.ParseSearchResult(class System.IO.Stream,string)","1,001",72,3.99,0.29,"BingAnswers.DLL",
4,"System.Threading.Thread.get_IsAlive()",587,587,2.34,2.34,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Add(!0)",151,151,0.60,0.60,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.MoveNext()",93,93,0.37,0.37,"mscorlib.dll",
4,"System.Collections.Generic.List`1.GetEnumerator()",48,48,0.19,0.19,"mscorlib.dll",
4,"System.Collections.Generic.List`1..ctor()",34,34,0.14,0.14,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.get_Current()",6,6,0.02,0.02,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.Dispose()",2,2,0.01,0.01,"mscorlib.dll",
4,"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",2,2,0.01,0.01,"clr.dll",
4,"System.Xml.Serialization.XmlSerializer..ctor(class System.Type)",2,2,0.01,0.01,"System.Xml.dll",
4,"System.Collections.Generic.List`1.get_Count()",1,1,0.00,0.00,"mscorlib.dll",
4,"System.Threading.Thread.Start()",1,1,0.00,0.00,"mscorlib.dll",
4,"__EH_epilog3",1,1,0.00,0.00,"clr.dll",
4,"System.Xml.XmlDocument.Load(class System.IO.Stream)",1,1,0.00,0.00,"System.Xml.dll",
3,"JIT_GetGenericsGCStaticBase(class MethodTable *)",51,51,0.20,0.20,"clr.dll",
3,"ThreadNative::IsAlive(class ThreadBaseObject *)",24,24,0.10,0.10,"clr.dll",
3,"BingAnswers.WikiHow.sendBingSearchRequest(string)",11,0,0.04,0.00,"BingAnswers.DLL",
4,"BingAnswers.Util.MakeWebRequestStream(string)",11,0,0.04,0.00,"BingAnswers.DLL",
5,"System.Net.WebRequest.Create(string)",7,7,0.03,0.03,"System.dll",
5,"System.Net.HttpWebRequest.GetResponse()",4,4,0.02,0.02,"System.dll",
3,"System.Collections.Generic.List`1.Enumerator.MoveNext()",2,2,0.01,0.01,"mscorlib.dll",
0,"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__7()",728,0,2.90,0.00,"BingAnswers.DLL",
1,"BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",728,0,2.90,0.00,"BingAnswers.DLL",
2,"BingAnswers.WikiAnswers.GetAnswer(string)",728,25,2.90,0.10,"BingAnswers.DLL",
3,"BingAnswers.WikiAnswers.ParseSearchResult(class System.IO.Stream,string)",639,64,2.55,0.26,"BingAnswers.DLL",
4,"System.Threading.Thread.get_IsAlive()",330,330,1.32,1.32,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Add(!0)",99,99,0.39,0.39,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.MoveNext()",59,59,0.24,0.24,"mscorlib.dll",
4,"System.Collections.Generic.List`1.GetEnumerator()",59,59,0.24,0.24,"mscorlib.dll",
4,"System.Collections.Generic.List`1..ctor()",17,17,0.07,0.07,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.get_Current()",7,7,0.03,0.03,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.Dispose()",1,1,0.00,0.00,"mscorlib.dll",
4,"System.Threading.Thread.Start()",1,1,0.00,0.00,"mscorlib.dll",
4,"System.Xml.Serialization.XmlSerializer..ctor(class System.Type)",1,1,0.00,0.00,"System.Xml.dll",
4,"System.Collections.Generic.List`1.get_Count()",1,1,0.00,0.00,"mscorlib.dll",
3,"JIT_GetGenericsGCStaticBase(class MethodTable *)",37,37,0.15,0.15,"clr.dll",
3,"ThreadNative::IsAlive(class ThreadBaseObject *)",19,19,0.08,0.08,"clr.dll",
3,"BingAnswers.WikiAnswers.sendBingSearchRequest(string)",7,0,0.03,0.00,"BingAnswers.DLL",
4,"BingAnswers.Util.MakeWebRequestStream(string)",7,0,0.03,0.00,"BingAnswers.DLL",
5,"System.Net.WebRequest.Create(string)",7,7,0.03,0.03,"System.dll",
3,"System.Collections.Generic.List`1.GetEnumerator()",1,1,0.00,0.00,"mscorlib.dll",
0,"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__2()",647,0,2.58,0.00,"BingAnswers.DLL",
1,"BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",647,0,2.58,0.00,"BingAnswers.DLL",
2,"BingAnswers.MSDNForum.GetAnswer(string)",647,22,2.58,0.09,"BingAnswers.DLL",
3,"BingAnswers.MSDNForum.ParseResponse(string)",565,51,2.25,0.20,"BingAnswers.DLL",
4,"System.Threading.Thread.get_IsAlive()",304,304,1.21,1.21,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Add(!0)",98,98,0.39,0.39,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.MoveNext()",45,45,0.18,0.18,"mscorlib.dll",
4,"System.Collections.Generic.List`1.GetEnumerator()",43,43,0.17,0.17,"mscorlib.dll",
4,"System.Collections.Generic.List`1..ctor()",16,16,0.06,0.06,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.get_Current()",4,4,0.02,0.02,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.Dispose()",2,2,0.01,0.01,"mscorlib.dll",
4,"System.Threading.Thread.Start()",1,1,0.00,0.00,"mscorlib.dll",
4,"__EH_epilog3",1,1,0.00,0.00,"clr.dll",
3,"JIT_GetGenericsGCStaticBase(class MethodTable *)",49,49,0.20,0.20,"clr.dll",
3,"ThreadNative::IsAlive(class ThreadBaseObject *)",8,8,0.03,0.03,"clr.dll",
3,"BingAnswers.MSDNForum.SendRequest(string)",3,0,0.01,0.00,"BingAnswers.DLL",
4,"BingAnswers.Util.MakeWebRequest(string)",3,0,0.01,0.00,"BingAnswers.DLL",
5,"System.Net.WebRequest.Create(string)",2,2,0.01,0.01,"System.dll",
5,"System.Net.HttpWebRequest.GetResponse()",1,1,0.00,0.00,"System.dll",
0,"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__0()",164,0,0.65,0.00,"BingAnswers.DLL",
1,"BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",164,0,0.65,0.00,"BingAnswers.DLL",
2,"BingAnswers.StackOverflow.GetAnswer(string)",164,2,0.65,0.01,"BingAnswers.DLL",
3,"BingAnswers.StackOverflow.ParseResponse(string)",143,16,0.57,0.06,"BingAnswers.DLL",
4,"System.Threading.Thread.get_IsAlive()",69,69,0.28,0.28,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Add(!0)",27,27,0.11,0.11,"mscorlib.dll",
4,"System.Collections.Generic.List`1.GetEnumerator()",10,10,0.04,0.04,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.MoveNext()",10,10,0.04,0.04,"mscorlib.dll",
4,"System.Collections.Generic.List`1..ctor()",9,9,0.04,0.04,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.get_Current()",2,2,0.01,0.01,"mscorlib.dll",
3,"JIT_GetGenericsGCStaticBase(class MethodTable *)",8,8,0.03,0.03,"clr.dll",
3,"BingAnswers.StackOverflow.SendRequest(string)",8,0,0.03,0.00,"BingAnswers.DLL",
4,"BingAnswers.Util.MakeWebRequest(string)",8,0,0.03,0.00,"BingAnswers.DLL",
5,"System.Net.WebRequest.Create(string)",6,6,0.02,0.02,"System.dll",
5,"System.Net.WebHeaderCollection.Add(string,string)",2,2,0.01,0.01,"System.dll",
3,"ThreadNative::IsAlive(class ThreadBaseObject *)",3,3,0.01,0.01,"clr.dll",
0,"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__5()",158,0,0.63,0.00,"BingAnswers.DLL",
1,"BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)",158,0,0.63,0.00,"BingAnswers.DLL",
2,"BingAnswers.ehow.GetAnswer(string)",158,1,0.63,0.00,"BingAnswers.DLL",
3,"BingAnswers.ehow.ParseSearchResult(class System.IO.Stream,string)",137,12,0.55,0.05,"BingAnswers.DLL",
4,"System.Threading.Thread.get_IsAlive()",70,70,0.28,0.28,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Add(!0)",29,29,0.12,0.12,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.MoveNext()",11,11,0.04,0.04,"mscorlib.dll",
4,"System.Collections.Generic.List`1.GetEnumerator()",6,6,0.02,0.02,"mscorlib.dll",
4,"System.Collections.Generic.List`1..ctor()",5,5,0.02,0.02,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.get_Current()",2,2,0.01,0.01,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.Dispose()",1,1,0.00,0.00,"mscorlib.dll",
4,"System.Xml.Serialization.XmlSerializer.Deserialize(class System.Xml.XmlReader)",1,1,0.00,0.00,"System.Xml.dll",
3,"JIT_GetGenericsGCStaticBase(class MethodTable *)",11,11,0.04,0.04,"clr.dll",
3,"BingAnswers.ehow.sendBingSearchRequest(string)",9,0,0.04,0.00,"BingAnswers.DLL",
4,"BingAnswers.Util.MakeWebRequestStream(string)",9,0,0.04,0.00,"BingAnswers.DLL",
5,"System.Net.WebRequest.Create(string)",4,4,0.02,0.02,"System.dll",
5,"System.Net.WebHeaderCollection.Add(string,string)",3,3,0.01,0.01,"System.dll",
5,"System.Net.HttpWebRequest.GetResponse()",2,2,0.01,0.01,"System.dll",
0,"BingAnswers.WikiHow.<>c__DisplayClass3.<ParseSearchResult>b__0()",80,0,0.32,0.00,"BingAnswers.DLL",
1,"BingAnswers.WikiHow.GetWikihowAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",80,0,0.32,0.00,"BingAnswers.DLL",
2,"HtmlAgilityPack.HtmlDocument.Load(class System.IO.Stream)",76,0,0.30,0.00,"HtmlAgilityPack.DLL",
3,"HtmlAgilityPack.HtmlDocument.Load(class System.IO.TextReader)",76,1,0.30,0.00,"HtmlAgilityPack.DLL",
4,"HtmlAgilityPack.HtmlDocument.Parse()",73,2,0.29,0.01,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlDocument.PushNodeEnd(int32,bool)",19,0,0.08,0.00,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlDocument.CloseCurrentNode()",7,0,0.03,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlNode.CloseNode(class HtmlAgilityPack.HtmlNode)",4,0,0.02,0.00,"HtmlAgilityPack.DLL",
8,"HtmlAgilityPack.HtmlNode.get_Name()",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
9,"System.String.ToLower()",1,1,0.00,0.00,"mscorlib.dll",
8,"System.Collections.Hashtable.get_Item(object)",1,1,0.00,0.00,"mscorlib.dll",
8,"System.Collections.Generic.List`1.Enumerator.MoveNext()",1,1,0.00,0.00,"mscorlib.dll",
8,"HtmlAgilityPack.HtmlNodeCollection.System.Collections.Generic.IEnumerable<HtmlAgilityPack.HtmlNode>.GetEnumerator()",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
9,"System.Collections.Generic.List`1.GetEnumerator()",1,1,0.00,0.00,"mscorlib.dll",
7,"HtmlAgilityPack.HtmlNode.get_Name()",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
8,"System.String.ToLower()",1,1,0.00,0.00,"mscorlib.dll",
7,"HtmlAgilityPack.HtmlNode.IsClosedElement(string)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
8,"System.String.ToLower()",1,1,0.00,0.00,"mscorlib.dll",
7,"System.Collections.Hashtable.get_Item(object)",1,1,0.00,0.00,"mscorlib.dll",
6,"HtmlAgilityPack.HtmlNode.AppendChild(class HtmlAgilityPack.HtmlNode)",5,0,0.02,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlNode.GetId()",3,0,0.01,0.00,"HtmlAgilityPack.DLL",
8,"HtmlAgilityPack.HtmlAttributeCollection.get_Item(string)",3,0,0.01,0.00,"HtmlAgilityPack.DLL",
9,"System.String.ToLower()",2,2,0.01,0.01,"mscorlib.dll",
9,"System.Collections.Generic.Dictionary`2.ContainsKey(!0)",1,1,0.00,0.00,"mscorlib.dll",
7,"HtmlAgilityPack.HtmlDocument.SetIdForNode(class HtmlAgilityPack.HtmlNode,string)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
8,"System.String.ToLower()",1,1,0.00,0.00,"mscorlib.dll",
7,"HtmlAgilityPack.HtmlNodeCollection.Append(class HtmlAgilityPack.HtmlNode)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
8,"System.Collections.Generic.List`1.Add(!0)",1,1,0.00,0.00,"mscorlib.dll",
6,"HtmlAgilityPack.HtmlNode.get_Name()",4,0,0.02,0.00,"HtmlAgilityPack.DLL",
7,"System.String.ToLower()",4,4,0.02,0.02,"mscorlib.dll",
6,"HtmlAgilityPack.HtmlNode.IsEmptyElement(string)",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
7,"System.Collections.Hashtable.get_Item(object)",1,1,0.00,0.00,"mscorlib.dll",
7,"System.String.ToLower()",1,1,0.00,0.00,"mscorlib.dll",
6,"HtmlAgilityPack.HtmlNode.IsClosedElement(string)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
7,"System.String.ToLower()",1,1,0.00,0.00,"mscorlib.dll",
5,"HtmlAgilityPack.HtmlNode.get_Name()",17,0,0.07,0.00,"HtmlAgilityPack.DLL",
6,"System.String.ToLower()",17,17,0.07,0.07,"mscorlib.dll",
5,"System.String.Compare(string,string,bool)",15,15,0.06,0.06,"mscorlib.dll",
5,"HtmlAgilityPack.HtmlDocument.NewCheck()",8,0,0.03,0.00,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlDocument.PushNodeEnd(int32,bool)",6,1,0.02,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlNode.AppendChild(class HtmlAgilityPack.HtmlNode)",5,1,0.02,0.00,"HtmlAgilityPack.DLL",
8,"HtmlAgilityPack.HtmlDocument.SetIdForNode(class HtmlAgilityPack.HtmlNode,string)",3,0,0.01,0.00,"HtmlAgilityPack.DLL",
9,"System.Collections.Hashtable.set_Item(object,object)",2,2,0.01,0.01,"mscorlib.dll",
9,"System.String.ToLower()",1,1,0.00,0.00,"mscorlib.dll",
8,"HtmlAgilityPack.HtmlNode.GetId()",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
9,"HtmlAgilityPack.HtmlAttributeCollection.get_Item(string)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
10,"System.String.ToLower()",1,1,0.00,0.00,"mscorlib.dll",
6,"HtmlAgilityPack.HtmlDocument.PushNodeStart(valuetype HtmlAgilityPack.HtmlNodeType,int32)",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlDocument.CreateNode(valuetype HtmlAgilityPack.HtmlNodeType,int32)",2,1,0.01,0.00,"HtmlAgilityPack.DLL",
8,"HtmlAgilityPack.HtmlNode..ctor(valuetype HtmlAgilityPack.HtmlNodeType,class HtmlAgilityPack.HtmlDocument,int32)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
9,"System.Collections.Hashtable.Add(object,object)",1,1,0.00,0.00,"mscorlib.dll",
5,"HtmlAgilityPack.HtmlDocument.IncrementPosition()",3,3,0.01,0.01,"HtmlAgilityPack.DLL",
5,"System.String.Concat(string,string)",2,2,0.01,0.01,"mscorlib.dll",
5,"HtmlAgilityPack.HtmlDocument.PushAttributeNameEnd(int32)",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlAttributeCollection.Append(class HtmlAgilityPack.HtmlAttribute)",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
7,"System.Collections.Generic.Dictionary`2.set_Item(!0,!1)",1,1,0.00,0.00,"mscorlib.dll",
7,"HtmlAgilityPack.HtmlAttribute.get_Name()",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
8,"System.String.ToLower()",1,1,0.00,0.00,"mscorlib.dll",
5,"HtmlAgilityPack.HtmlDocument.IsWhiteSpace(int32)",1,1,0.00,0.00,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlDocument.PushAttributeValueStart(int32,int32)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlAttribute.set_QuoteType(valuetype HtmlAgilityPack.AttributeValueQuote)",1,1,0.00,0.00,"HtmlAgilityPack.DLL",
5,"System.String.Substring(int32,int32)",1,1,0.00,0.00,"mscorlib.dll",
5,"HtmlAgilityPack.HtmlDocument.PushNodeStart(valuetype HtmlAgilityPack.HtmlNodeType,int32)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlDocument.CreateNode(valuetype HtmlAgilityPack.HtmlNodeType,int32)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlTextNode..ctor(class HtmlAgilityPack.HtmlDocument,int32)",1,1,0.00,0.00,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlDocument.PushAttributeValueEnd(int32)",1,1,0.00,0.00,"HtmlAgilityPack.DLL",
4,"System.String.Compare(string,string,bool)",1,1,0.00,0.00,"mscorlib.dll",
4,"System.IO.StreamReader.ReadToEnd()",1,1,0.00,0.00,"mscorlib.dll",
2,"HtmlAgilityPack.HtmlNode.SelectNodes(string)",3,0,0.01,0.00,"HtmlAgilityPack.DLL",
3,"MS.Internal.Xml.XPath.XPathSelectionIterator.MoveNext()",3,0,0.01,0.00,"System.Xml.dll",
4,"HtmlAgilityPack.HtmlNodeNavigator.get_LocalName()",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlNode.get_Name()",2,0,0.01,0.00,"HtmlAgilityPack.DLL",
6,"System.String.ToLower()",2,2,0.01,0.01,"mscorlib.dll",
4,"HtmlAgilityPack.HtmlNodeNavigator.MoveToFirstChild()",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlNodeCollection.get_Item(int32)",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
6,"System.Collections.Generic.List`1.get_Item(int32)",1,1,0.00,0.00,"mscorlib.dll",
2,"BingAnswers.Util.MakeWebRequestStream(string)",1,0,0.00,0.00,"BingAnswers.DLL",
3,"System.Net.HttpWebRequest.GetResponse()",1,1,0.00,0.00,"System.dll",
0,"BingAnswers.WikiAnswers.<>c__DisplayClass3.<ParseSearchResult>b__0()",35,0,0.14,0.00,"BingAnswers.DLL",
1,"BingAnswers.WikiAnswers.GetWikiAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)",35,0,0.14,0.00,"BingAnswers.DLL",
2,"HtmlAgilityPack.HtmlDocument.Load(class System.IO.Stream)",32,0,0.13,0.00,"HtmlAgilityPack.DLL",
3,"HtmlAgilityPack.HtmlDocument.Load(class System.IO.TextReader)",32,0,0.13,0.00,"HtmlAgilityPack.DLL",
4,"HtmlAgilityPack.HtmlDocument.Parse()",32,2,0.13,0.01,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlDocument.PushNodeEnd(int32,bool)",14,0,0.06,0.00,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlDocument.CloseCurrentNode()",8,0,0.03,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlNode.CloseNode(class HtmlAgilityPack.HtmlNode)",4,0,0.02,0.00,"HtmlAgilityPack.DLL",
8,"HtmlAgilityPack.HtmlNode.get_Name()",1,0,0.00,0.00,"HtmlAgilityPack.DLL",
