Type,Unique ID,ID,Name,Begin Time,End Time,Life Time,
"Process",0,16984,"WebDev.WebServer40.EXE","1,281.06","192,576.21","191,295.15",
"Thread",2,14316,"__CorExeMain_Exported@0","1,343.46","192,046.55","190,703.09",
"Thread",3,13684,"Thread::intermediateThreadProc(void *)","1,684.85","192,042.87","190,358.02",
"Thread",4,8832,"Thread::intermediateThreadProc(void *)","1,684.99","61,942.61","60,257.62",
"Thread",5,19144,"Thread::intermediateThreadProc(void *)","1,684.98","167,897.88","166,212.90",
"Thread",6,11728,"Thread::intermediateThreadProc(void *)","1,781.82","29,994.62","28,212.80",
"Thread",7,19820,"ThreadpoolMgr::TimerThreadStart(void *)","1,787.98","192,042.92","190,254.94",
"Thread",8,15524,"Thread::intermediateThreadProc(void *)","1,909.13","192,042.88","190,133.76",
"Thread",9,9332,"Thread::intermediateThreadProc(void *)","4,651.69","192,042.92","187,391.23",
"Thread",10,8508,"Thread::intermediateThreadProc(void *)","14,595.03","61,942.50","47,347.47",
"Thread",11,14236,"Thread::intermediateThreadProc(void *)","14,940.77","16,038.72","1,097.95",
"Thread",12,3812,"Thread::intermediateThreadProc(void *)","14,941.17","18,018.79","3,077.62",
"Thread",13,13124,"Thread::intermediateThreadProc(void *)","14,941.45","16,310.44","1,368.99",
"Thread",14,2600,"Thread::intermediateThreadProc(void *)","14,941.65","17,227.72","2,286.07",
"Thread",15,15448,"Thread::intermediateThreadProc(void *)","14,941.88","16,335.04","1,393.16",
"Thread",16,11240,"Thread::intermediateThreadProc(void *)","14,942.08","16,007.29","1,065.21",
"Thread",17,7828,"Thread::intermediateThreadProc(void *)","14,942.87","17,197.19","2,254.33",
"Thread",18,14396,"Thread::intermediateThreadProc(void *)","14,944.29","16,964.46","2,020.17",
"Thread",19,14632,"Thread::intermediateThreadProc(void *)","14,944.94","18,053.96","3,109.02",
"Thread",20,19752,"Thread::intermediateThreadProc(void *)","14,995.38","29,995.62","15,000.24",
"Thread",21,16868,"Thread::intermediateThreadProc(void *)","14,995.56","192,042.92","177,047.36",
"Thread",22,4996,"_RasmanServiceMonitorThread@0","15,150.03","192,042.92","176,892.89",
"Thread",23,13996,"Thread::intermediateThreadProc(void *)","15,213.68","192,042.89","176,829.21",
"Thread",24,15508,"CRpcThreadCache::RpcWorkerThreadEntry(void *)","15,583.26","105,594.99","90,011.73",
"Thread",25,18444,"Thread::intermediateThreadProc(void *)","15,949.20","16,294.38",345.17,
"Thread",26,11840,"Thread::intermediateThreadProc(void *)","15,949.52","16,310.30",360.79,
"Thread",27,20528,"Thread::intermediateThreadProc(void *)","15,949.74","16,216.16",266.42,
"Thread",28,10036,"Thread::intermediateThreadProc(void *)","15,950.05","16,165.02",214.97,
"Thread",29,13028,"Thread::intermediateThreadProc(void *)","16,006.30","17,173.76","1,167.46",
"Thread",30,1324,"Thread::intermediateThreadProc(void *)","16,006.36","17,810.90","1,804.55",
"Thread",31,17036,"Thread::intermediateThreadProc(void *)","16,006.43","16,933.83",927.39,
"Thread",32,19220,"Thread::intermediateThreadProc(void *)","16,007.58","18,053.92","2,046.34",
"Thread",33,12996,"Thread::intermediateThreadProc(void *)","16,008.26","17,765.68","1,757.42",
"Thread",34,2912,"Thread::intermediateThreadProc(void *)","16,009.50","17,112.82","1,103.32",
"Thread",35,16852,"Thread::intermediateThreadProc(void *)","16,009.58","16,964.17",954.59,
"Thread",36,1524,"Thread::intermediateThreadProc(void *)","16,009.71","17,197.12","1,187.41",
"Thread",37,6976,"Thread::intermediateThreadProc(void *)","16,010.01","16,830.23",820.21,
"Thread",38,11188,"Thread::intermediateThreadProc(void *)","16,795.01","167,897.73","151,102.72",
"Thread",39,3012,"WKS::gc_heap::gc_thread_stub(void *)","18,028.69","78,090.39","60,061.70",
"Thread",40,16376,"Thread::intermediateThreadProc(void *)","21,868.64","192,042.93","170,174.29",
"Thread",41,2780,"Thread::intermediateThreadProc(void *)","21,868.68","192,042.95","170,174.27",
"Thread",42,18076,"_TppWorkerThread@4","22,159.18","192,042.89","169,883.70",
"Thread",43,5836,"Thread::intermediateThreadProc(void *)","27,251.98","28,320.69","1,068.72",
"Thread",44,12200,"Thread::intermediateThreadProc(void *)","27,252.50","28,192.07",939.57,
"Thread",45,2564,"Thread::intermediateThreadProc(void *)","27,252.95","28,750.41","1,497.46",
"Thread",46,12036,"Thread::intermediateThreadProc(void *)","27,253.61","28,785.20","1,531.59",
"Thread",47,21952,"Thread::intermediateThreadProc(void *)","27,254.04","28,186.25",932.20,
"Thread",48,20136,"Thread::intermediateThreadProc(void *)","27,254.48","27,993.71",739.23,
"Thread",49,8864,"Thread::intermediateThreadProc(void *)","27,254.78","28,560.59","1,305.81",
"Thread",50,21528,"Thread::intermediateThreadProc(void *)","27,255.10","28,298.76","1,043.66",
"Thread",51,18016,"Thread::intermediateThreadProc(void *)","27,255.39","29,700.36","2,444.97",
"Thread",52,15712,"_TppWorkerThread@4","27,287.58","192,042.92","164,755.35",
"Thread",53,21968,"Thread::intermediateThreadProc(void *)","27,533.42","28,544.45","1,011.03",
"Thread",54,17016,"Thread::intermediateThreadProc(void *)","27,533.82","28,560.50","1,026.67",
"Thread",55,23428,"Thread::intermediateThreadProc(void *)","27,534.20","28,456.82",922.61,
"Thread",56,19260,"Thread::intermediateThreadProc(void *)","27,552.61","29,700.23","2,147.62",
"Thread",57,11668,"Thread::intermediateThreadProc(void *)","27,553.06","29,126.82","1,573.76",
"Thread",58,17308,"Thread::intermediateThreadProc(void *)","27,553.52","29,676.98","2,123.46",
"Thread",59,23468,"Thread::intermediateThreadProc(void *)","27,560.77","27,896.33",335.56,
"Thread",60,14708,"Thread::intermediateThreadProc(void *)","27,560.97","28,085.94",524.97,
"Thread",61,19948,"Thread::intermediateThreadProc(void *)","27,561.16","28,298.68",737.52,
"Thread",62,1124,"Thread::intermediateThreadProc(void *)","27,597.81","27,771.75",173.94,
"Thread",63,20560,"Thread::intermediateThreadProc(void *)","27,598.18","27,741.24",143.05,
"Thread",64,12300,"Thread::intermediateThreadProc(void *)","27,598.42","27,993.57",395.15,
"Thread",65,16556,"Thread::intermediateThreadProc(void *)","28,343.11","28,505.19",162.08,
"Thread",66,14964,"Thread::intermediateThreadProc(void *)","28,343.48","28,609.93",266.45,
"Thread",67,18908,"Thread::intermediateThreadProc(void *)","28,343.67","28,622.00",278.32,
"Thread",68,15836,"Thread::intermediateThreadProc(void *)","28,343.87","28,750.35",406.48,
"Thread",69,17624,"Thread::intermediateThreadProc(void *)","41,866.02","192,042.89","150,176.87",
"Thread",70,16184,"Thread::intermediateThreadProc(void *)","42,291.53","42,723.52",431.99,
"Thread",71,11876,"Thread::intermediateThreadProc(void *)","42,291.89","42,575.97",284.08,
"Thread",72,22012,"Thread::intermediateThreadProc(void *)","42,292.37","44,786.69","2,494.32",
"Thread",73,12224,"Thread::intermediateThreadProc(void *)","42,292.71","45,090.66","2,797.95",
"Thread",74,16460,"Thread::intermediateThreadProc(void *)","42,293.02","44,827.63","2,534.61",
"Thread",75,14384,"Thread::intermediateThreadProc(void *)","42,293.68","42,776.66",482.98,
"Thread",76,14540,"Thread::intermediateThreadProc(void *)","42,294.10","43,946.21","1,652.11",
"Thread",77,15796,"Thread::intermediateThreadProc(void *)","42,294.46","43,421.35","1,126.89",
"Thread",78,21520,"Thread::intermediateThreadProc(void *)","42,294.73","46,461.03","4,166.30",
"Thread",79,6468,"Thread::intermediateThreadProc(void *)","42,614.23","42,776.53",162.30,
"Thread",80,12956,"Thread::intermediateThreadProc(void *)","42,614.61","42,735.47",120.87,
"Thread",81,13080,"Thread::intermediateThreadProc(void *)","42,646.29","43,419.41",773.12,
"Thread",82,20004,"Thread::intermediateThreadProc(void *)","42,646.71","42,947.78",301.07,
"Thread",83,23544,"Thread::intermediateThreadProc(void *)","42,646.91","43,239.30",592.39,
"Thread",84,9120,"Thread::intermediateThreadProc(void *)","42,705.06","43,946.13","1,241.06",
"Thread",85,17764,"Thread::intermediateThreadProc(void *)","42,705.34","43,886.73","1,181.39",
"Thread",86,16620,"Thread::intermediateThreadProc(void *)","42,705.58","43,416.91",711.33,
"Thread",87,6968,"Thread::intermediateThreadProc(void *)","42,796.64","44,869.97","2,073.33",
"Thread",88,18540,"Thread::intermediateThreadProc(void *)","42,796.89","46,460.99","3,664.10",
"Thread",89,11820,"Thread::intermediateThreadProc(void *)","42,797.17","44,263.89","1,466.72",
"Thread",90,8880,"Thread::intermediateThreadProc(void *)","43,445.78","43,738.33",292.55,
"Thread",91,22000,"Thread::intermediateThreadProc(void *)","43,445.96","44,786.64","1,340.68",
"Thread",92,9132,"Thread::intermediateThreadProc(void *)","43,446.29","43,779.91",333.62,
"Thread",93,16816,"Thread::intermediateThreadProc(void *)","43,446.47","43,696.16",249.69,
"Thread",95,12772,"Thread::intermediateThreadProc(void *)","55,030.41","55,462.14",431.74,
"Thread",96,14168,"Thread::intermediateThreadProc(void *)","55,030.90","55,285.93",255.03,
"Thread",97,10636,"Thread::intermediateThreadProc(void *)","55,031.16","56,582.31","1,551.15",
"Thread",98,16160,"Thread::intermediateThreadProc(void *)","55,031.48","57,878.25","2,846.76",
"Thread",99,16104,"Thread::intermediateThreadProc(void *)","55,031.84","57,594.30","2,562.46",
"Thread",100,11360,"Thread::intermediateThreadProc(void *)","55,033.12","55,255.29",222.17,
"Thread",101,9912,"Thread::intermediateThreadProc(void *)","55,033.35","56,097.64","1,064.29",
"Thread",102,16464,"Thread::intermediateThreadProc(void *)","55,033.61","56,092.74","1,059.13",
"Thread",103,18708,"Thread::intermediateThreadProc(void *)","55,033.88","58,226.20","3,192.31",
"Thread",104,22220,"Thread::intermediateThreadProc(void *)","55,165.55","55,252.28",86.73,
"Thread",105,8080,"Thread::intermediateThreadProc(void *)","55,165.97","55,255.17",89.20,
"Thread",106,14864,"Thread::intermediateThreadProc(void *)","55,230.87","56,861.75","1,630.87",
"Thread",107,2992,"Thread::intermediateThreadProc(void *)","55,231.07","58,226.09","2,995.02",
"Thread",108,9876,"Thread::intermediateThreadProc(void *)","55,231.43","56,597.80","1,366.36",
"Thread",109,14196,"Thread::intermediateThreadProc(void *)","55,360.92","56,095.64",734.72,
"Thread",110,10960,"Thread::intermediateThreadProc(void *)","55,361.14","56,097.59",736.45,
"Thread",111,3000,"Thread::intermediateThreadProc(void *)","55,361.35","56,094.96",733.60,
"Thread",112,19564,"Thread::intermediateThreadProc(void *)","55,365.37","55,891.68",526.31,
"Thread",113,1812,"Thread::intermediateThreadProc(void *)","55,365.67","55,873.42",507.75,
"Thread",114,7220,"Thread::intermediateThreadProc(void *)","55,365.86","56,092.68",726.82,
"Thread",115,22016,"Thread::intermediateThreadProc(void *)","56,063.05","56,582.35",519.30,
"Thread",116,22972,"Thread::intermediateThreadProc(void *)","56,092.98","56,223.28",130.30,
"Thread",117,8020,"Thread::intermediateThreadProc(void *)","56,093.32","56,200.95",107.63,
"Thread",118,9380,"Thread::intermediateThreadProc(void *)","56,093.58","56,366.52",272.94,
"Thread",120,14548,"Thread::intermediateThreadProc(void *)","101,909.79","167,897.98","65,988.19",
"Thread",121,5660,"Thread::intermediateThreadProc(void *)","101,909.94","192,042.89","90,132.95",
"Thread",122,10860,"Thread::intermediateThreadProc(void *)","101,909.99","192,042.90","90,132.90",
"Thread",123,16292,"Thread::intermediateThreadProc(void *)","121,923.40","184,622.64","62,699.23",
"Thread",124,7504,"Thread::intermediateThreadProc(void *)","121,923.46","167,897.60","45,974.14",
"Thread",125,9112,"Thread::intermediateThreadProc(void *)","125,654.65","126,405.40",750.75,
"Thread",126,10012,"Thread::intermediateThreadProc(void *)","125,655.04","126,648.04",993.00,
"Thread",127,7644,"Thread::intermediateThreadProc(void *)","125,655.27","126,734.59","1,079.32",
"Thread",128,4732,"Thread::intermediateThreadProc(void *)","125,655.63","129,589.55","3,933.92",
"Thread",129,14488,"Thread::intermediateThreadProc(void *)","125,656.00","126,934.87","1,278.87",
"Thread",130,20156,"Thread::intermediateThreadProc(void *)","125,656.31","126,144.52",488.21,
"Thread",131,10596,"Thread::intermediateThreadProc(void *)","125,656.73","128,109.42","2,452.70",
"Thread",132,16428,"Thread::intermediateThreadProc(void *)","125,657.00","126,541.59",884.59,
"Thread",133,10288,"Thread::intermediateThreadProc(void *)","125,657.29","159,257.92","33,600.63",
"Thread",134,20896,"Thread::intermediateThreadProc(void *)","125,996.18","126,502.99",506.82,
"Thread",135,19268,"Thread::intermediateThreadProc(void *)","125,997.09","126,541.52",544.43,
"Thread",136,10524,"Thread::intermediateThreadProc(void *)","125,997.36","126,526.44",529.09,
"Thread",137,14876,"Thread::intermediateThreadProc(void *)","126,011.10","159,257.80","33,246.71",
"Thread",138,12912,"Thread::intermediateThreadProc(void *)","126,011.49","136,610.96","10,599.47",
"Thread",139,13736,"Thread::intermediateThreadProc(void *)","126,011.78","127,623.38","1,611.60",
"Thread",140,7688,"Thread::intermediateThreadProc(void *)","126,041.03","126,141.08",100.05,
"Thread",141,10612,"Thread::intermediateThreadProc(void *)","126,041.29","126,144.39",103.10,
"Thread",142,3700,"Thread::intermediateThreadProc(void *)","126,542.51","126,647.31",104.80,
"Thread",143,18240,"Thread::intermediateThreadProc(void *)","126,542.76","126,734.51",191.75,
"Thread",144,7732,"Thread::intermediateThreadProc(void *)","126,542.90","126,715.97",173.07,
"Thread",145,7460,"Thread::intermediateThreadProc(void *)","126,543.29","126,663.11",119.83,
"Thread",146,2624,"Thread::intermediateThreadProc(void *)","127,059.76","127,963.90",904.15,
"Thread",147,16948,"Thread::intermediateThreadProc(void *)","127,060.09","128,109.32","1,049.23",
"Thread",148,1344,"Thread::intermediateThreadProc(void *)","127,060.37","127,762.38",702.01,
"Thread",149,6848,"WKS::gc_heap::gc_thread_stub(void *)","127,581.13","177,034.89","49,453.76",
"Thread",150,20624,"Thread::intermediateThreadProc(void *)","141,938.24","184,622.77","42,684.53",
"Thread",151,8412,"Thread::intermediateThreadProc(void *)","141,938.29","184,622.52","42,684.23",
"Thread",152,2880,"[FwcWsp.dll]","156,333.69","192,042.89","35,709.20",
"Thread",154,14376,"Thread::intermediateThreadProc(void *)","175,426.23","176,957.48","1,531.24",
"Thread",155,20964,"Thread::intermediateThreadProc(void *)","175,426.65","176,883.85","1,457.20",
"Thread",156,2764,"Thread::intermediateThreadProc(void *)","175,427.06","177,033.45","1,606.39",
"Thread",157,17320,"Thread::intermediateThreadProc(void *)","175,427.53","176,087.96",660.43,
"Thread",158,22272,"Thread::intermediateThreadProc(void *)","175,427.86","176,427.46",999.60,
"Thread",159,5980,"Thread::intermediateThreadProc(void *)","175,428.27","176,073.78",645.50,
"Thread",160,22540,"Thread::intermediateThreadProc(void *)","175,428.60","176,944.04","1,515.44",
"Thread",161,17672,"Thread::intermediateThreadProc(void *)","175,428.87","176,417.83",988.95,
"Thread",162,21364,"Thread::intermediateThreadProc(void *)","175,429.11","180,027.88","4,598.77",
"Thread",163,20128,"Thread::intermediateThreadProc(void *)","175,777.93","178,892.77","3,114.84",
"Thread",164,17932,"Thread::intermediateThreadProc(void *)","175,778.36","177,186.07","1,407.71",
"Thread",165,3704,"Thread::intermediateThreadProc(void *)","175,778.74","180,027.80","4,249.06",
"Thread",166,12764,"Thread::intermediateThreadProc(void *)","175,797.91","176,318.79",520.88,
"Thread",167,10056,"Thread::intermediateThreadProc(void *)","175,798.39","176,351.07",552.68,
"Thread",168,9176,"Thread::intermediateThreadProc(void *)","175,798.63","176,417.79",619.16,
"Thread",169,21720,"Thread::intermediateThreadProc(void *)","175,804.52","176,943.97","1,139.45",
"Thread",170,22084,"Thread::intermediateThreadProc(void *)","175,804.88","176,714.32",909.44,
"Thread",171,17112,"Thread::intermediateThreadProc(void *)","175,805.16","176,778.52",973.36,
"Thread",172,512,"Thread::intermediateThreadProc(void *)","175,909.36","176,073.67",164.31,
"Thread",173,10224,"Thread::intermediateThreadProc(void *)","175,909.85","175,996.05",86.20,
"Thread",174,496,"Thread::intermediateThreadProc(void *)","175,910.12","176,029.86",119.74,
"Thread",175,10892,"Thread::intermediateThreadProc(void *)","176,095.39","176,653.47",558.08,
"Thread",176,7180,"Thread::intermediateThreadProc(void *)","176,095.70","176,957.43",861.74,
"Thread",177,7600,"Thread::intermediateThreadProc(void *)","176,385.38","176,934.83",549.45,
"Thread",178,18404,"Thread::intermediateThreadProc(void *)","176,385.55","177,033.36",647.81,
"Thread",179,4448,"Thread::intermediateThreadProc(void *)","176,385.79","176,558.66",172.87,
"Thread",180,9344,"Thread::intermediateThreadProc(void *)","176,386.01","176,872.05",486.03,
"Thread",181,21124,"Thread::intermediateThreadProc(void *)","191,833.48","192,042.92",209.44,
"Thread",182,22980,"Thread::intermediateThreadProc(void *)","191,833.91","192,042.94",209.03,
