Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"@JIT_ChkCastInterface@8",1,0.00,0x5B2C3193,"2,472",0,"2,472",0,
"@JIT_ChkCastInterface@8",1,0.00,0x5B2C319E,"2,484",0,"2,484",0,
"@JIT_IsInstanceOfClass@8",30,0.13,0x5B2DE832,212,0,212,0,
"@JIT_IsInstanceOfClass@8",15,0.06,0x5B2DE83C,254,0,254,0,
"@JIT_IsInstanceOfClass@8",63,0.26,0x5B2DE83F,255,0,255,0,
"@JIT_IsInstanceOfClass@8",33,0.14,0x5B2DE843,259,0,259,0,
"@JIT_IsInstanceOfClass@8",29,0.12,0x5B2DE847,264,0,264,0,
"@JIT_IsInstanceOfInterface@8",33,0.14,0x5B2C3130,"2,375",0,"2,375",0,
"@JIT_IsInstanceOfInterface@8",36,0.15,0x5B2C3138,"2,383",0,"2,383",0,
"@JIT_IsInstanceOfInterface@8",30,0.13,0x5B2C313C,"2,384",0,"2,384",0,
"@JIT_IsInstanceOfInterface@8",19,0.08,0x5B2C3140,"2,389",0,"2,389",0,
"@JIT_IsInstanceOfInterface@8",27,0.11,0x5B2C3143,"2,390",0,"2,390",0,
"@JIT_IsInstanceOfInterface@8",29,0.12,0x5B2C3146,"2,393",0,"2,393",0,
"@JIT_IsInstanceOfInterface@8",276,1.15,0x5B2C314E,"2,402",0,"2,402",0,
"@JIT_IsInstanceOfInterface@8",137,0.57,0x5B2C3150,"2,403",0,"2,403",0,
"@JIT_IsInstanceOfInterface@8",39,0.16,0x5B2C3158,"2,407",0,"2,407",0,
"@JIT_IsInstanceOfInterface@8",164,0.68,0x5B2C315C,"2,414",0,"2,414",0,
"@JIT_IsInstanceOfInterface@8",1,0.00,0x5B2C315F,"2,415",0,"2,415",0,
"@JIT_IsInstanceOfInterface@8",21,0.09,0x5B2C3162,"2,421",0,"2,421",0,
"@JIT_IsInstanceOfInterface@8",7,0.03,0x5B2C3163,"2,422",0,"2,422",0,
"@JIT_IsInstanceOfInterface@8",29,0.12,0x5B2C316C,"2,425",0,"2,425",0,
"@JIT_Stelem_Ref@12",1,0.00,0x5B2DE7FF,115,0,115,0,
"@JIT_Stelem_Ref@12",1,0.00,0x5B2DE80D,140,0,140,0,
"@JIT_Stelem_Ref@12",1,0.00,0x5B2DE82F,149,0,149,0,
"__EH_epilog3",1,0.00,0x5B2C174B,544,0,544,0,
"_JIT_WriteBarrierEAX@0",5,0.02,0x5B2C2FB0,"2,298",0,"2,298",0,
"_JIT_WriteBarrierEAX@0",1,0.00,0x5B2C2FBA,"2,298",0,"2,298",0,
"_JIT_WriteBarrierEAX@0",1,0.00,0x5B2C2FBD,"2,298",0,"2,298",0,
"_JIT_WriteBarrierEAX@0",2,0.01,0x5B2C2FBE,"2,298",0,"2,298",0,
"_JIT_WriteBarrierEAX@0",3,0.01,0x5B2C2FC7,"2,298",0,"2,298",0,
"_JIT_WriteBarrierEBX@0",2,0.01,0x5B2C2FE2,"2,299",0,"2,299",0,
"_JIT_WriteBarrierEDI@0",1,0.00,0x5B2C3085,"2,302",0,"2,302",0,
"_JIT_WriteBarrierEDI@0",1,0.00,0x5B2C3091,"2,302",0,"2,302",0,
"_ResolveWorkerAsmStub@0",1,0.00,0x5B2E5C43,679,0,679,0,
"BingAnswers.BasePage.<GetAnswers>b__d(class System.Threading.Thread)",94,0.39,0x0D78C8F0,144,44,144,58,
"BingAnswers.BasePage.<GetAnswers>b__d(class System.Threading.Thread)",41,0.17,0x0D78C8F6,144,44,144,58,
"BingAnswers.BasePage.<GetAnswers>b__d(class System.Threading.Thread)",40,0.17,0x0D78C907,144,44,144,58,
"BingAnswers.BasePage.<GetAnswers>b__d(class System.Threading.Thread)",3,0.01,0x0D78C911,144,44,144,58,
"BingAnswers.BasePage.<GetAnswers>b__d(class System.Threading.Thread)",9,0.04,0x0D78C913,144,44,144,58,
"BingAnswers.BasePage.<GetAnswers>b__d(class System.Threading.Thread)",48,0.20,0x0D78C919,144,44,144,58,
"BingAnswers.BasePage.<GetAnswers>b__d(class System.Threading.Thread)",12,0.05,0x0D78C91C,144,44,144,58,
"BingAnswers.BasePage.<GetAnswers>b__d(class System.Threading.Thread)",18,0.08,0x0D78C920,144,44,144,58,
"BingAnswers.BasePage.<GetAnswers>b__d(class System.Threading.Thread)",7,0.03,0x0D78C923,144,44,144,58,
"BingAnswers.BasePage.<GetAnswers>b__d(class System.Threading.Thread)",34,0.14,0x0D78C924,144,44,144,58,
"BingAnswers.BasePage.<GetAnswers>b__d(class System.Threading.Thread)",47,0.20,0x0D78C926,144,44,144,58,
"BingAnswers.BasePage.<GetAnswers>b__d(class System.Threading.Thread)",30,0.13,0x0D78C929,144,44,144,58,
"BingAnswers.BasePage.<GetAnswers>b__d(class System.Threading.Thread)",36,0.15,0x0D78C92C,144,44,144,58,
"BingAnswers.BasePage.GetAnswers(string)",1,0.00,0x0D782EF2,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",4,0.02,0x0D782F02,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",2,0.01,0x0D782F45,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",20,0.08,0x0D782F59,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",7,0.03,0x0D782F6A,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",11,0.05,0x0D782F6D,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",4,0.02,0x0D782F71,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",4,0.02,0x0D782F73,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",1,0.00,0x0D782F74,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",2,0.01,0x0D782F7E,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",2,0.01,0x0D782F81,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",5,0.02,0x0D782F84,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",8,0.03,0x0D782F87,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",1,0.00,0x0D782F8E,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",12,0.05,0x0D782F92,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",6,0.03,0x0D782F95,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",31,0.13,0x0D782F99,144,13,144,84,
"BingAnswers.BasePage.GetAnswers(string)",4,0.02,0x0D782EE7,145,13,145,14,
"BingAnswers.WebSources.ChaCha.<ParseSearchResponse>b__1(class System.Threading.Thread)",4,0.02,0x0D78F1C0,45,44,45,58,
"BingAnswers.WebSources.ChaCha.<ParseSearchResponse>b__1(class System.Threading.Thread)",2,0.01,0x0D78F1C6,45,44,45,58,
"BingAnswers.WebSources.ChaCha.<ParseSearchResponse>b__1(class System.Threading.Thread)",1,0.00,0x0D78F1D7,45,44,45,58,
"BingAnswers.WebSources.ChaCha.<ParseSearchResponse>b__1(class System.Threading.Thread)",3,0.01,0x0D78F1E8,45,44,45,58,
"BingAnswers.WebSources.ChaCha.<ParseSearchResponse>b__1(class System.Threading.Thread)",4,0.02,0x0D78F1EB,45,44,45,58,
"BingAnswers.WebSources.ChaCha.<ParseSearchResponse>b__1(class System.Threading.Thread)",4,0.02,0x0D78F1EF,45,44,45,58,
"BingAnswers.WebSources.ChaCha.<ParseSearchResponse>b__1(class System.Threading.Thread)",2,0.01,0x0D78F1F2,45,44,45,58,
"BingAnswers.WebSources.ChaCha.<ParseSearchResponse>b__1(class System.Threading.Thread)",1,0.00,0x0D78F1F3,45,44,45,58,
"BingAnswers.WebSources.ChaCha.<ParseSearchResponse>b__1(class System.Threading.Thread)",1,0.00,0x0D78F1F5,45,44,45,58,
"BingAnswers.WebSources.ChaCha.<ParseSearchResponse>b__1(class System.Threading.Thread)",6,0.03,0x0D78F1F8,45,44,45,58,
"BingAnswers.WebSources.ChaCha.ParseSearchResponse(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78DCD4,45,13,45,72,
"BingAnswers.WebSources.ChaCha.ParseSearchResponse(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",2,0.01,0x0D78DD2D,45,13,45,72,
"BingAnswers.WebSources.ChaCha.ParseSearchResponse(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",15,0.06,0x0D78DD43,45,13,45,72,
"BingAnswers.WebSources.ChaCha.ParseSearchResponse(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78DD49,45,13,45,72,
"BingAnswers.WebSources.ChaCha.ParseSearchResponse(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78DD4F,45,13,45,72,
"BingAnswers.WebSources.ChaCha.ParseSearchResponse(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",2,0.01,0x0D78DD59,45,13,45,72,
"BingAnswers.WebSources.ChaCha.ParseSearchResponse(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",2,0.01,0x0D78DD5C,45,13,45,72,
"BingAnswers.WebSources.ChaCha.ParseSearchResponse(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78DD60,45,13,45,72,
"BingAnswers.WebSources.ChaCha.ParseSearchResponse(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78DD66,45,13,45,72,
"BingAnswers.WebSources.ChaCha.ParseSearchResponse(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78DD6D,45,13,45,72,
"BingAnswers.WebSources.ChaCha.ParseSearchResponse(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78DCCC,46,13,46,14,
"BingAnswers.WebSources.ehow.<ParseSearchResult>b__1(class System.Threading.Thread)",1,0.00,0x14B7C388,51,44,51,58,
"BingAnswers.WebSources.ehow.<ParseSearchResult>b__1(class System.Threading.Thread)",1,0.00,0x14B7C398,51,44,51,58,
"BingAnswers.WebSources.ehow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",2,0.01,0x0D78E0AE,51,13,51,72,
"BingAnswers.WebSources.ehow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78E0C7,51,13,51,72,
"BingAnswers.WebSources.ehow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",3,0.01,0x0D78E0D8,51,13,51,72,
"BingAnswers.WebSources.ehow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",2,0.01,0x0D78E031,52,13,52,14,
"BingAnswers.WebSources.MSDNForum.<ParseResponse>b__1(class System.Threading.Thread)",11,0.05,0x00DE4430,62,44,62,58,
"BingAnswers.WebSources.MSDNForum.<ParseResponse>b__1(class System.Threading.Thread)",5,0.02,0x00DE4436,62,44,62,58,
"BingAnswers.WebSources.MSDNForum.<ParseResponse>b__1(class System.Threading.Thread)",5,0.02,0x00DE4447,62,44,62,58,
"BingAnswers.WebSources.MSDNForum.<ParseResponse>b__1(class System.Threading.Thread)",1,0.00,0x00DE4453,62,44,62,58,
"BingAnswers.WebSources.MSDNForum.<ParseResponse>b__1(class System.Threading.Thread)",6,0.03,0x00DE4458,62,44,62,58,
"BingAnswers.WebSources.MSDNForum.<ParseResponse>b__1(class System.Threading.Thread)",1,0.00,0x00DE445B,62,44,62,58,
"BingAnswers.WebSources.MSDNForum.<ParseResponse>b__1(class System.Threading.Thread)",6,0.03,0x00DE445F,62,44,62,58,
"BingAnswers.WebSources.MSDNForum.<ParseResponse>b__1(class System.Threading.Thread)",3,0.01,0x00DE4462,62,44,62,58,
"BingAnswers.WebSources.MSDNForum.<ParseResponse>b__1(class System.Threading.Thread)",4,0.02,0x00DE4463,62,44,62,58,
"BingAnswers.WebSources.MSDNForum.<ParseResponse>b__1(class System.Threading.Thread)",5,0.02,0x00DE4465,62,44,62,58,
"BingAnswers.WebSources.MSDNForum.<ParseResponse>b__1(class System.Threading.Thread)",9,0.04,0x00DE4468,62,44,62,58,
"BingAnswers.WebSources.MSDNForum.<ParseResponse>b__1(class System.Threading.Thread)",4,0.02,0x00DE446B,62,44,62,58,
"BingAnswers.WebSources.MSDNForum.ParseResponse(string)",1,0.00,0x00DE41B3,62,13,62,72,
"BingAnswers.WebSources.MSDNForum.ParseResponse(string)",2,0.01,0x00DE420F,62,13,62,72,
"BingAnswers.WebSources.MSDNForum.ParseResponse(string)",32,0.13,0x00DE4225,62,13,62,72,
"BingAnswers.WebSources.MSDNForum.ParseResponse(string)",1,0.00,0x00DE423B,62,13,62,72,
"BingAnswers.WebSources.MSDNForum.ParseResponse(string)",9,0.04,0x00DE423E,62,13,62,72,
"BingAnswers.WebSources.MSDNForum.ParseResponse(string)",2,0.01,0x00DE4242,62,13,62,72,
"BingAnswers.WebSources.MSDNForum.ParseResponse(string)",5,0.02,0x00DE4245,62,13,62,72,
"BingAnswers.WebSources.MSDNForum.ParseResponse(string)",3,0.01,0x00DE424B,62,13,62,72,
"BingAnswers.WebSources.MSDNForum.ParseResponse(string)",3,0.01,0x00DE424F,62,13,62,72,
"BingAnswers.WebSources.MSDNForum.ParseResponse(string)",1,0.00,0x00DE41A8,63,13,63,14,
"BingAnswers.WebSources.Quora.<ParseSearchResult>b__1(class System.Threading.Thread)",15,0.06,0x0D78E710,46,44,46,58,
"BingAnswers.WebSources.Quora.<ParseSearchResult>b__1(class System.Threading.Thread)",6,0.03,0x0D78E716,46,44,46,58,
"BingAnswers.WebSources.Quora.<ParseSearchResult>b__1(class System.Threading.Thread)",8,0.03,0x0D78E727,46,44,46,58,
"BingAnswers.WebSources.Quora.<ParseSearchResult>b__1(class System.Threading.Thread)",2,0.01,0x0D78E733,46,44,46,58,
"BingAnswers.WebSources.Quora.<ParseSearchResult>b__1(class System.Threading.Thread)",5,0.02,0x0D78E738,46,44,46,58,
"BingAnswers.WebSources.Quora.<ParseSearchResult>b__1(class System.Threading.Thread)",2,0.01,0x0D78E73B,46,44,46,58,
"BingAnswers.WebSources.Quora.<ParseSearchResult>b__1(class System.Threading.Thread)",7,0.03,0x0D78E73F,46,44,46,58,
"BingAnswers.WebSources.Quora.<ParseSearchResult>b__1(class System.Threading.Thread)",5,0.02,0x0D78E742,46,44,46,58,
"BingAnswers.WebSources.Quora.<ParseSearchResult>b__1(class System.Threading.Thread)",1,0.00,0x0D78E743,46,44,46,58,
"BingAnswers.WebSources.Quora.<ParseSearchResult>b__1(class System.Threading.Thread)",10,0.04,0x0D78E745,46,44,46,58,
"BingAnswers.WebSources.Quora.<ParseSearchResult>b__1(class System.Threading.Thread)",13,0.05,0x0D78E748,46,44,46,58,
"BingAnswers.WebSources.Quora.<ParseSearchResult>b__1(class System.Threading.Thread)",1,0.00,0x0D78E74B,46,44,46,58,
"BingAnswers.WebSources.Quora.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78DA2D,46,13,46,72,
"BingAnswers.WebSources.Quora.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",35,0.15,0x0D78DA43,46,13,46,72,
"BingAnswers.WebSources.Quora.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78DA49,46,13,46,72,
"BingAnswers.WebSources.Quora.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",4,0.02,0x0D78DA59,46,13,46,72,
"BingAnswers.WebSources.Quora.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",4,0.02,0x0D78DA5C,46,13,46,72,
"BingAnswers.WebSources.Quora.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",5,0.02,0x0D78DA60,46,13,46,72,
"BingAnswers.WebSources.Quora.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",2,0.01,0x0D78DA63,46,13,46,72,
"BingAnswers.WebSources.Quora.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",2,0.01,0x0D78DA66,46,13,46,72,
"BingAnswers.WebSources.Quora.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",2,0.01,0x0D78DA69,46,13,46,72,
"BingAnswers.WebSources.Quora.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",8,0.03,0x0D78DA6D,46,13,46,72,
"BingAnswers.WebSources.Quora.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",6,0.03,0x0D78D9CC,47,13,47,14,
"BingAnswers.WebSources.WikiAnswers.<ParseSearchResult>b__1(class System.Threading.Thread)",5,0.02,0x0D78EF40,47,44,47,58,
"BingAnswers.WebSources.WikiAnswers.<ParseSearchResult>b__1(class System.Threading.Thread)",4,0.02,0x0D78EF46,47,44,47,58,
"BingAnswers.WebSources.WikiAnswers.<ParseSearchResult>b__1(class System.Threading.Thread)",3,0.01,0x0D78EF57,47,44,47,58,
"BingAnswers.WebSources.WikiAnswers.<ParseSearchResult>b__1(class System.Threading.Thread)",2,0.01,0x0D78EF63,47,44,47,58,
"BingAnswers.WebSources.WikiAnswers.<ParseSearchResult>b__1(class System.Threading.Thread)",9,0.04,0x0D78EF68,47,44,47,58,
"BingAnswers.WebSources.WikiAnswers.<ParseSearchResult>b__1(class System.Threading.Thread)",2,0.01,0x0D78EF6B,47,44,47,58,
"BingAnswers.WebSources.WikiAnswers.<ParseSearchResult>b__1(class System.Threading.Thread)",6,0.03,0x0D78EF6F,47,44,47,58,
"BingAnswers.WebSources.WikiAnswers.<ParseSearchResult>b__1(class System.Threading.Thread)",7,0.03,0x0D78EF72,47,44,47,58,
"BingAnswers.WebSources.WikiAnswers.<ParseSearchResult>b__1(class System.Threading.Thread)",2,0.01,0x0D78EF75,47,44,47,58,
"BingAnswers.WebSources.WikiAnswers.<ParseSearchResult>b__1(class System.Threading.Thread)",6,0.03,0x0D78EF78,47,44,47,58,
"BingAnswers.WebSources.WikiAnswers.<ParseSearchResult>b__1(class System.Threading.Thread)",1,0.00,0x0D78EF7B,47,44,47,58,
"BingAnswers.WebSources.WikiAnswers.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",4,0.02,0x0D78E3F4,47,13,47,72,
"BingAnswers.WebSources.WikiAnswers.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78E44D,47,13,47,72,
"BingAnswers.WebSources.WikiAnswers.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",24,0.10,0x0D78E463,47,13,47,72,
"BingAnswers.WebSources.WikiAnswers.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",4,0.02,0x0D78E479,47,13,47,72,
"BingAnswers.WebSources.WikiAnswers.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78E47C,47,13,47,72,
"BingAnswers.WebSources.WikiAnswers.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78E480,47,13,47,72,
"BingAnswers.WebSources.WikiAnswers.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",2,0.01,0x0D78E486,47,13,47,72,
"BingAnswers.WebSources.WikiAnswers.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78E489,47,13,47,72,
"BingAnswers.WebSources.WikiAnswers.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",3,0.01,0x0D78E48D,47,13,47,72,
"BingAnswers.WebSources.WikiHow.<ParseSearchResult>b__1(class System.Threading.Thread)",5,0.02,0x0D78F970,49,44,49,58,
"BingAnswers.WebSources.WikiHow.<ParseSearchResult>b__1(class System.Threading.Thread)",4,0.02,0x0D78F976,49,44,49,58,
"BingAnswers.WebSources.WikiHow.<ParseSearchResult>b__1(class System.Threading.Thread)",2,0.01,0x0D78F993,49,44,49,58,
"BingAnswers.WebSources.WikiHow.<ParseSearchResult>b__1(class System.Threading.Thread)",3,0.01,0x0D78F998,49,44,49,58,
"BingAnswers.WebSources.WikiHow.<ParseSearchResult>b__1(class System.Threading.Thread)",2,0.01,0x0D78F99B,49,44,49,58,
"BingAnswers.WebSources.WikiHow.<ParseSearchResult>b__1(class System.Threading.Thread)",3,0.01,0x0D78F99F,49,44,49,58,
"BingAnswers.WebSources.WikiHow.<ParseSearchResult>b__1(class System.Threading.Thread)",1,0.00,0x0D78F9A2,49,44,49,58,
"BingAnswers.WebSources.WikiHow.<ParseSearchResult>b__1(class System.Threading.Thread)",4,0.02,0x0D78F9A5,49,44,49,58,
"BingAnswers.WebSources.WikiHow.<ParseSearchResult>b__1(class System.Threading.Thread)",9,0.04,0x0D78F9A8,49,44,49,58,
"BingAnswers.WebSources.WikiHow.<ParseSearchResult>b__1(class System.Threading.Thread)",3,0.01,0x0D78F9AB,49,44,49,58,
"BingAnswers.WebSources.WikiHow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78F4FF,49,13,49,72,
"BingAnswers.WebSources.WikiHow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78F55B,49,13,49,72,
"BingAnswers.WebSources.WikiHow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",24,0.10,0x0D78F571,49,13,49,72,
"BingAnswers.WebSources.WikiHow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",3,0.01,0x0D78F577,49,13,49,72,
"BingAnswers.WebSources.WikiHow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",4,0.02,0x0D78F57D,49,13,49,72,
"BingAnswers.WebSources.WikiHow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",3,0.01,0x0D78F587,49,13,49,72,
"BingAnswers.WebSources.WikiHow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",6,0.03,0x0D78F58A,49,13,49,72,
"BingAnswers.WebSources.WikiHow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",2,0.01,0x0D78F58E,49,13,49,72,
"BingAnswers.WebSources.WikiHow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78F591,49,13,49,72,
"BingAnswers.WebSources.WikiHow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",1,0.00,0x0D78F597,49,13,49,72,
"BingAnswers.WebSources.WikiHow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",4,0.02,0x0D78F59B,49,13,49,72,
"BingAnswers.WebSources.WikiHow.ParseSearchResult(class System.Collections.Generic.IEnumerable`1<class BingAnswers.WebResultsWebResult>,string)",2,0.01,0x0D78F4F4,50,13,50,14,
"BingAnswers.WebSources.Wikipedia.<GetWikiAnswer>b__b(class System.Threading.Thread)",10,0.04,0x00DED110,101,44,101,58,
"BingAnswers.WebSources.Wikipedia.<GetWikiAnswer>b__b(class System.Threading.Thread)",3,0.01,0x00DED116,101,44,101,58,
